Time,Month,wspd10,wdir10,wav_hs,wav_tp,wav_dp,cur_spd,cur_dir
2007-01-01 00:00:00,1,"13,78","69,17","1,74","8,33","52,84","0,93","259,21"
2007-01-01 03:00:00,1,"14,02","66,65","1,93","7,08","58,29","1,15","221,57"
2007-01-01 04:00:00,1,"13,94","54,18","1,78","7,4","60,64","1,19","241,45"
2007-01-01 07:00:00,1,"15,10","51,33","1,88","5,92","53,3","1,19","194,81"
2007-01-01 08:00:00,1,"14,17","50,36","1,78","6,33","51,64","1,09","240,03"
2007-01-01 11:00:00,1,"14,29","58,45","1,86","6,02","54,95","1,22","234,89"
2007-01-01 12:00:00,1,"11,95","51,55","1,82","6,31","59,55","0,97","227,25"
2007-01-01 15:00:00,1,"12,98","40,97","1,46","7,06","49,59","0,97","194,28"
2007-01-01 16:00:00,1,"11,51","46,21","1,81","8,08",55,"0,97","208,92"
2007-01-01 19:00:00,1,"12,09","48,91","1,56","6,7","57,77","0,95","185,48"
2007-01-01 20:00:00,1,"11,97","63,4","1,48","7,78","47,81","0,84","225,48"
2007-01-01 23:00:00,1,"12,36","57,26","1,62","6,16","58,09","0,76","227,75"
2007-01-02 00:00:00,1,"12,62","57,89","1,41","8,23","61,73","0,74",229
2007-01-02 03:00:00,1,"15,98","69,36","1,73","6,65","66,98","0,82","236,99"
2007-01-02 04:00:00,1,"14,99","64,71","1,36","7,01","70,72","1,03","260,42"
2007-01-02 07:00:00,1,"20,22","54,55","1,6","6,13","54,95","1,22","195,91"
2007-01-02 08:00:00,1,"15,45","59,08","1,68","6,37","71,26","0,99","206,46"
2007-01-02 11:00:00,1,"14,56","59,62","1,92","7,58","57,02","1,26","226,23"
2007-01-02 12:00:00,1,"17,20","46,34","1,7","6,75","61,49","1,03","223,23"
2007-01-02 15:00:00,1,"19,94","44,04","2,01","6,26","53,82","1,01","249,94"
2007-01-02 16:00:00,1,"17,77","48,09","1,68","7,69","58,09","1,22","202,12"
2007-01-02 19:00:00,1,"19,69","51,89","1,78","7,02","56,55","1,13","215,29"
2007-01-02 20:00:00,1,"20,43","52,08","1,98","7,08","58,86","1,13","194,29"
2007-01-02 23:00:00,1,"23,42",49,"1,95","6,49","46,91","1,11","214,38"
2007-01-03 00:00:00,1,"17,65","42,81","2,02","7,55","41,48","1,07","220,59"
2007-01-03 03:00:00,1,"16,78","51,95","2,18","7,18","44,04","1,09","181,37"
2007-01-03 04:00:00,1,"17,38","43,81","2,15","6,53","43,12","1,21","178,16"
2007-01-03 07:00:00,1,"17,36","60,93","1,96",6,"48,84","1,24","204,86"
2007-01-03 08:00:00,1,"20,02","49,24","1,82","7,11","48,58","1,21","233,36"
2007-01-03 11:00:00,1,"13,72","56,24","2,32","6,55","51,53","1,03","177,34"
2007-01-03 12:00:00,1,"15,78","42,91","2,23","6,95","47,97","1,15","204,72"
2007-01-03 15:00:00,1,"16,13","38,77","1,82","7,33","49,3","1,19","229,05"
2007-01-03 16:00:00,1,"14,64","33,16","1,68","8,41","49,73","0,99","239,1"
2007-01-03 19:00:00,1,"18,97","32,44","1,69","7,83","46,53","1,22","230,2"
2007-01-03 20:00:00,1,"16,66","30,08","1,83","6,49","45,04","0,91","201,26"
2007-01-03 23:00:00,1,"15,28","42,03","1,84","6,61","45,66","1,05","207,26"
2007-01-04 00:00:00,1,"13,18","42,48",2,"7,44","42,49","0,99","232,43"
2007-01-04 03:00:00,1,"14,66","25,74","2,16","8,06","37,72","1,21","209,31"
2007-01-04 04:00:00,1,"16,52","30,59","1,89","8,6","36,8","1,07","233,78"
2007-01-04 07:00:00,1,"19,71","28,2","2,33","6,64","45,42","1,15","205,77"
2007-01-04 08:00:00,1,"18,19","29,51","2,26","7,04","37,6","1,19","198,03"
2007-01-04 11:00:00,1,"19,67","30,41","2,25","6,48","39,61","1,26",238
2007-01-04 12:00:00,1,"23,07","31,38","1,79","8,65","37,93","1,61","206,28"
2007-01-04 15:00:00,1,"20,90","25,76","1,95","7,34","43,08","1,48","220,36"
2007-01-04 16:00:00,1,"22,22","26,28","2,32","6,75","35,71","1,46","237,67"
2007-01-04 19:00:00,1,"24,22","25,48","2,18","8,59","37,13","1,38","178,85"
2007-01-04 20:00:00,1,"21,46","35,76","2,57","8,35","38,93","1,36","225,43"
2007-01-04 23:00:00,1,"17,59","29,35","2,45","7,26","40,08","1,65","172,88"
2007-01-05 00:00:00,1,"21,62","29,72","2,25","7,1","36,72","1,26","195,55"
2007-01-05 03:00:00,1,"19,94","30,22","2,62","6,94","40,16","1,36","188,18"
2007-01-05 04:00:00,1,"20,41","21,92","2,07","6,58","39,41","1,44","198,8"
2007-01-05 07:00:00,1,"20,41","20,97","2,21","6,94","38,06","1,19","215,12"
2007-01-05 08:00:00,1,"21,27","18,07","2,04","6,57","37,39","1,19","207,57"
2007-01-05 11:00:00,1,"17,36","20,25","1,83","7,48","37,93","1,34","175,85"
2007-01-05 12:00:00,1,"19,71","21,68","2,18","7,85","38,35","1,28","221,91"
2007-01-05 15:00:00,1,"21,77","22,22","2,25","6,39","31,6","1,26","204,84"
2007-01-05 16:00:00,1,"21,67","23,64","1,96","7,15","37,6","1,57","211,62"
2007-01-05 19:00:00,1,"18,86","27,48","2,51","8,19","30,74","1,59","215,82"
2007-01-05 20:00:00,1,"22,00","29,22","2,07","7,12","39,33","1,73","221,83"
2007-01-05 23:00:00,1,"20,22","23,4","2,38","8,07","36,36","1,65","221,07"
2007-01-06 00:00:00,1,"23,09","26,47","2,43","6,77","35,43","1,48","227,14"
2007-01-06 03:00:00,1,"22,63","25,52","2,16","8,65","33,56","1,73","236,85"
2007-01-06 04:00:00,1,"24,36","23,94","2,22","6,86","38,64","1,77","178,44"
2007-01-06 07:00:00,1,"23,25","19,26","1,96","6,86","32,28","1,40","187,72"
2007-01-06 08:00:00,1,"25,78","16,52","2,01","6,63","33,91","1,77","201,76"
